age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	ipa_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
o						s16	f		0			AE	1		YEAH	AS	675.1	1940.4	2867.4	391.9	341.7	243.0	8.08	8.06	8.12	0.06	ae	æ				w/y				Y	EH1	final	2		Y AE1	EH1 Z	516.2	1973.9	528.4	1975.3	666.1	2014.3	714.7	1834.6	714.7	1834.6	6
o						s16	f		0			EH	1	YEAH	AS	I	737.4	1611.0	2845.1	89.6	185.8	126.1	8.18	8.12	8.3	0.18	e	ɛ	fricative	apical	voiced					AE1	Z	initial	1	Y AE1	EH1 Z	AY1	713.2	1671.4	735.7	1612.1	733.3	1581.7	727.6	1537.9	637.2	1545.3	5
o						s16	f		0			AY	1	AS	I	WAS	644.0	1466.3	2725.4	117.8	221.1	528.2	8.41	8.38	8.44	0.06	ay	aj							m	Z	W	coextensive	1	EH1 Z	AY1	W AH1 Z	1018.1	2312.6	611.8	1734.6	599.6	1420.4	657.7	1481.5	662.8	1487.7	5
o						s16	f		0			AH	1	I	WAS	TEASING	499.0	1440.2	2433.3	88.5	111.7	754.0	8.563	8.54	8.61	0.07	uh	ʌ	fricative	apical	voiced	w/y				W	Z	internal	2	AY1	W AH1 Z	T IY1 Z IH0 NG	495.2	1352.8	497.3	1385.7	498.0	1535.2	480.9	1590.0	464.5	1527.8	6
o						s16	f		0			IY	1	WAS	TEASING		350.5	2503.6	2961.2	83.7	122.8	395.6	8.897	8.86	8.97	0.11	iy	i	fricative	apical	voiced	oral_apical	one_fol_syll			T	Z	internal	2	W AH1 Z	T IY1 Z IH0 NG		311.0	2453.1	349.9	2496.7	352.9	2478.8	359.4	2396.4	352.5	2277.8	5
o						s16	f		0			IH	0	WAS	TEASING		486.0	1999.8	2924.4	294.7	171.1	190.9	9.09	9.07	9.13	0.06	i	ɪ	nasal	velar	voiced	oral_apical				Z	NG	internal	4	W AH1 Z	T IY1 Z IH0 NG		913.4	2323.3	857.6	2291.7	478.3	2176.1	449.8	2333.3	447.4	2344.2	5
o						s16	f		0			OW	2		OKAY		464.2	1224.4	2323.1	868.3	383.9	840.4	23.072	23.04	23.17	0.13	ow	ow	stop	velar	voiceless		one_fol_syll				K	initial	1		OW2 K EY1		350.5	1406.1	520.9	1165.1	599.4	1270.4	633.5	1252.5	550.2	1296.5	6
o						s16	f		0			IY	0		TWENTY	EIGHT	450.6	2487.9	3042.7	275.7	154.2	498.0	29.398	29.325	29.545	0.22	iyF	iF				nasal_apical				N	EY1	final	5		T W EH1 N IY0	EY1 T	427.6	2337.3	443.5	2503.5	441.3	2505.6	465.0	2416.0	472.1	2496.9	5
o						s16	f		0			IH	0		THIS	IS	436.7	1667.2	2865.9	113.7	114.3	243.9	30.865	30.848	30.898	0.05	i	ɪ	fricative	apical	voiceless	oral_apical				DH	S	internal	2		DH IH0 S	IH0 Z	422.0	1667.8	422.0	1667.8	436.6	1677.7	420.5	1703.3	420.5	1703.3	5
o						s16	f		0			IH	0	THIS	IS	MY	366.5	1581.8	2856.5	174.2	247.4	236.3	31.005	30.988	31.038	0.05	i	ɪ	fricative	apical	voiced					S	Z	initial	1	DH IH0 S	IH0 Z	M AY1	518.6	1762.6	518.6	1762.6	391.2	1572.2	403.8	1557.9	403.8	1557.9	5
o						s16	f		0			AY	1	IS	MY	TWENTY	816.4	1565.7	2300.1	303.8	133.8	163.2	31.182	31.158	31.238	0.08	ay	aj				nasal_labial				M	T	final	2	IH0 Z	M AY1	T W EH1 N IY0	204.5	1533.9	291.9	1122.3	566.2	1516.7	561.8	1849.0	460.2	1997.1	6
o						s16	f		0			IY	0	MY	TWENTY	EIGHTH	405.7	2523.5	3451.4	341.9	132.0	1036.0	31.495	31.448	31.588	0.14	iyF	iF				nasal_apical				N	EY1	final	5	M AY1	T W EH1 N IY0	EY1 TH	423.5	2103.5	405.8	2498.2	403.0	2554.2	442.3	2529.1	500.5	2487.2	4
o						s16	f		0			EY	1	TWENTY	EIGHTH	YEAR	605.0	2362.3	2789.9	282.5	146.4	270.9	31.6	31.588	31.658	0.07	ey	ej	fricative	interdental	voiceless					IY0	TH	initial	1	T W EH1 N IY0	EY1 TH	Y IH1 R	605.0	2362.3	601.0	2369.3	545.6	2396.5	417.8	1463.6	412.9	1458.0	6
o						s16	f		0			UW	1	HAVE	TWO	MORE	371.3	2007.3	2679.3	99.9	219.1	364.2	33.512	33.505	33.575	0.07	Tuw	Tu				oral_apical				T	M	final	2	HH AE1 V	T UW1	M AO1 R	371.3	2007.3	384.7	2005.4	402.0	1921.5	409.5	1654.8	406.1	1574.8	5
o						s16	f		0			AO	1	TWO	MORE	YEARS	552.5	698.7	2393.7	815.8	221.4	163.8	33.675	33.655	33.715	0.06	owr	owr	central	apical	voiced	nasal_labial				M	R	internal	2	T UW1	M AO1 R	Y IH1 R Z	502.9	762.0	512.1	749.1	551.9	723.2	544.9	745.8	548.3	748.0	5
