age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	ipa_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
y						s08	f		0			EY	1		OK		614.6	2409.9	3238.8	242.9	536.5	666.5	15.072	15.043	15.123	0.08	eyF	ejF				velar				K		final	3		OW1 K EY1		507.7	2320.3	593.8	2326.5	589.4	2409.3	423.6	2087.5	361.4	1653.8	5
y						s08	f		0			EY	1		GREAT		621.2	1916.6	2215.4	261.3	407.3	300.6	38.084	38.071	38.161	0.09	ey	ej	stop	apical	voiceless	obstruent_liquid				R	T	internal	3		G R EY1 T		621.2	1916.6	557.3	2034.0	525.0	2223.0	459.4	1400.8	422.7	584.5	6
y						s08	f		0			UH	1		SURE		484.4	964.2	2251.6	798.2	228.6	198.0	45.692	45.669	45.739	0.07	uwr	uwr	central	apical	voiced	palatal				SH	R	internal	2		SH UH1 R		456.8	1556.7	481.6	1289.8	505.7	801.3	601.5	1803.7	595.9	1870.5	6
y						s08	f		0			AH	1		UM		842.5	1377.8	3272.2	168.5	287.8	347.9	46.093	45.976	46.326	0.35	uh	ʌ	nasal	labial	voiced						M	initial	1		AH1 M		900.2	1193.5	845.2	1368.3	780.3	1355.7	695.6	1287.9	726.9	1230.6	5
y						s08	f		0			AY	1		I	GREW	838.2	1903.4	2808.7	201.4	127.0	244.8	46.58	46.582	46.632	0.05	ay	aj							m		G	coextensive	1		AY1	G R UW1	625.9	1765.5	757.0	1801.0	836.7	1920.0	730.0	2060.8	683.4	2154.6	5
y						s08	f		0			IH	0	UP	IN	LIMA	535.4	1633.2	2841.5	300.9	221.8	297.5	46.929	46.912	46.962	0.05	i	ɪ	nasal	apical	voiced					P	N	initial	1	AH1 P	IH0 N	L AY1 M AH0	787.8	1958.0	787.8	1958.0	541.2	1575.1	576.7	1589.5	576.7	1589.5	5
y						s08	f		0			AY	1	IN	LIMA	OHIO	810.9	1495.9	3571.2	157.4	171.8	420.5	47.127	47.092	47.182	0.09	ay	aj	nasal	labial	voiced	liquid	one_fol_syll			L	M	internal	2	IH0 N	L AY1 M AH0	OW0 HH AY1 OW0	584.5	921.3	777.6	1190.9	810.5	1468.6	797.6	1725.3	767.3	1822.6	5
y						s08	f		0			AH	0	IN	LIMA	OHIO	703.6	1162.9	3273.9	185.1	189.5	350.8	47.272	47.242	47.332	0.09	@	ə				nasal_labial				M	OW0	final	4	IH0 N	L AY1 M AH0	OW0 HH AY1 OW0	711.0	1440.1	698.9	1155.3	706.0	1157.8	760.3	978.6	720.6	1222.5	4
y						s08	f		0			AY	1	LIMA	OHIO		955.1	1229.4	3220.1	540.2	539.5	492.1	47.457	47.432	47.582	0.15	ay	aj					one_fol_syll			HH	OW0	internal	3	L AY1 M AH0	OW0 HH AY1 OW0		994.9	2339.8	948.4	1233.2	882.0	1441.7	868.4	1708.9	817.8	1905.2	5
y						s08	f		0			OW	0	LIMA	OHIO		833.1	1840.8	2875.6	86.6	92.2	95.0	47.617	47.582	47.722	0.14	owF	owF								AY1		final	4	L AY1 M AH0	OW0 HH AY1 OW0		828.1	1873.3	854.7	1718.7	726.2	1401.0	860.7	1274.4	376.1	1062.7	6
