s05, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	I	964.0	1335.0	40.43	40.415	40.715	0.3	41	0	0	0	0	0			941.0	1254.0	744.0	1336.0	803.0	1848.0	559.0	2277.0	457.0	2222.0	5	
AH	1	UH	709.0	1714.0	40.768	40.715	40.875	0.16	6	0	0	0	0	0			571.0	2130.0	703.0	1777.0	735.0	1702.0	745.0	1685.0	606.0	1626.0	5	
IH	0	THIS	527.0	1550.0	42.215	42.198	42.248	0.05	1	3	4	1	3	0			503.0	1545.0	503.0	1545.0	566.0	1587.0	622.0	1660.0	622.0	1660.0	6	
IH	1	IS	550.0	1854.0	42.381	42.348	42.448	0.1	1	3	4	2	0	0			531.0	1773.0	549.0	1836.0	521.0	1948.0	497.0	1876.0	494.0	1830.0	5	
IH	0	THIS	458.0	1551.0	42.515	42.498	42.548	0.05	1	3	4	1	3	0			445.0	1552.0	445.0	1552.0	458.0	1544.0	473.0	1546.0	473.0	1546.0	6	
IH	1	SLIPPED	626.0	1337.0	43.826	43.809	43.859	0.05	1	1	1	1	8	3			624.0	1285.0	624.0	1285.0	623.0	1403.0	597.0	1405.0	597.0	1405.0	5	
AY	1	I	915.0	1795.0	44.923	44.913	45.003	0.09	41	0	0	0	0	0		m	845.0	1914.0	958.0	1844.0	678.0	1255.0	652.0	1177.0	554.0	1490.0	6	
EH	1	SET	657.0	1541.0	45.143	45.113	45.203	0.09	2	1	4	1	3	0			594.0	1559.0	623.0	1510.0	705.0	1596.0	717.0	1649.0	704.0	1678.0	5	
OW	2	OKAY	632.0	1391.0	45.572	45.549	45.639	0.09	62	1	6	1	0	1			676.0	1587.0	642.0	1391.0	700.0	1405.0	667.0	1368.0	600.0	1364.0	5	
EY	1	OKAY	794.0	1832.0	45.762	45.709	45.829	0.12	22	0	0	0	6	0			627.0	1857.0	755.0	1902.0	792.0	1821.0	760.0	1812.0	715.0	1904.0	5	
AH	1	UM	811.0	1012.0	46.75	46.673	46.903	0.23	6	4	1	2	0	0			902.0	1121.0	827.0	1008.0	845.0	964.0	857.0	1044.0	839.0	1020.0	5	
AH	1	UH	858.0	1585.0	48.012	47.919	48.199	0.28	6	0	0	0	0	0			756.0	979.0	857.0	1588.0	874.0	1516.0	880.0	1454.0	890.0	1485.0	6	
UW	1	GREW	556.0	1973.0	48.497	48.49	48.54	0.05	73	0	0	0	8	0			556.0	1973.0	556.0	1973.0	593.0	2018.0	654.0	2052.0	654.0	2052.0	3	
AE	1	CINCINNATI	815.0	2003.0	49.097	49.05	49.19	0.14	3	1	4	1	4	1			584.0	2021.0	776.0	2020.0	882.0	1945.0	911.0	1885.0	811.0	1832.0	5	
