age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	ipa_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
y						s31	f		0			EH	1		YES		705.5	1985.3	3015.1	174.4	124.9	495.4	6.881	6.828	6.988	0.16	e	ɛ	fricative	apical	voiceless	w/y				Y	S	internal	2		Y EH1 S		479.8	2432.6	681.8	2011.2	759.1	1919.9	696.7	1776.9	521.3	1700.3	4
y						s31	f		0			AY	1		I'M	WORKING	1024.2	1618.0	3376.2	306.1	410.4	491.4	17.147	17.134	17.344	0.21	ay	aj	nasal	labial	voiced						M	initial	1		AY1 M	W ER1 K IH0 NG	1111.4	1659.4	986.5	1711.8	874.0	1937.1	658.9	2030.5	439.6	2279.2	4
y						s31	f		0			ER	1	I'M	WORKING	HERE	728.6	1456.0	2458.1	278.9	387.0	204.1	17.497	17.464	17.564	0.1	*hr	ə˞	stop	velar	voiceless	w/y	one_fol_syll			W	K	internal	2	AY1 M	W ER1 K IH0 NG	HH IY1 R	700.4	1268.5	721.1	1423.7	716.2	1536.9	587.7	1704.9	466.8	1751.0	5
y						s31	f		0			IH	0	I'M	WORKING	HERE	398.6	1819.2	2911.3	386.3	270.5	423.9	17.691	17.664	17.744	0.08	i	ɪ	nasal	velar	voiced	velar				K	NG	internal	4	AY1 M	W ER1 K IH0 NG	HH IY1 R	325.0	846.3	378.9	1298.7	406.0	1616.4	331.5	889.1	318.0	885.7	6
y						s31	f		0			IY	1	WORKING	HERE	UH	390.4	2707.9	3255.0	232.6	481.3	1723.5	17.944	17.904	18.024	0.12	iyr	ir	central	apical	voiced					HH	R	internal	2	W ER1 K IH0 NG	HH IY1 R	AH1	232.0	2842.9	349.0	2735.3	468.9	2553.6	492.3	2365.4	530.4	2158.2	4
y						s31	f		0			AH	1		BUT		795.3	1820.2	3927.8	197.1	224.6	609.2	18.975	18.942	19.042	0.1	uh	ʌ	stop	apical	voiceless	oral_labial				B	T	internal	2		B AH1 T		842.2	2232.7	785.3	1800.6	809.3	1912.4	804.3	2025.2	807.6	2095.4	3
y						s31	f		0			ER	1		WORKING		776.9	1697.7	4336.7	408.5	532.8	966.6	19.338	19.311	19.391	0.08	*hr	ə˞	stop	velar	voiceless	w/y	one_fol_syll			W	K	internal	2		W ER1 K IH0 NG		840.4	2069.3	787.4	1696.3	750.2	1811.7	797.8	1839.3	715.9	1852.6	3
y						s31	f		0			IH	0		WORKING		711.5	2747.2	3195.5	172.1	57.2	512.6	19.531	19.491	19.611	0.12	i	ɪ	nasal	velar	voiced	velar				K	NG	internal	4		W ER1 K IH0 NG		572.2	2595.7	722.1	2734.2	675.4	2767.1	654.2	2746.5	653.1	2727.6	5
y						s31	f		0			AH	1		UM	WORK	873.8	1623.4	3275.4	157.5	129.7	951.8	20.607	20.544	20.734	0.19	uh	ʌ	nasal	labial	voiced						M	initial	1		AH1 M	W ER1 K	918.2	1714.5	885.4	1630.3	815.8	1253.5	819.7	1520.4	768.7	1332.3	5
y						s31	f		0			ER	1	UM	WORK	STUDY	603.0	1199.9	1481.1	269.3	899.5	1271.8	20.857	20.834	20.904	0.07	*hr	ə˞	stop	velar	voiceless	w/y				W	K	internal	2	AH1 M	W ER1 K	S T AH1 D IY0	569.0	1123.4	585.1	1173.7	594.6	1177.5	585.1	1460.8	596.3	1558.8	6
